,k-NN
accuracy_score,0.8653044203502919
precision_score,0.7909090909090909
recall_score,0.9991796554552912
f1_score,0.8829285973178687
roc_auc_score,0.8630334239956694
matthews_corrcoef,0.7572361843747915
