,Fluorescent labeling,FRAGMENTS,FREQUENCY
48884,Yes,cc(C)c1ccc(c)cc1c,632
46987,Yes,c1ccncc1,630
54106,Yes,cc1ccc(N(C)C)cc1,630
39217,Yes,C=C(C)c1ccccc1,628
38523,Yes,Bc1ccc(C)cc1C,628
47176,Yes,cB(c)c1c(C)cc(C)cc1C,624
24888,No ,cc(n)N1CCN(C)CC1,622
17082,No ,cCN1CCN(C)CC1,621
55554,Yes,ccc(C#N)cc,618
857,No ,CC(C)C(=O)N(C)C,618
30394,No ,ccc(cc)CN(CC)CC,604
42193,Yes,CCCCCCO,591
11278,No ,Cc1cccc(C)c1,591
42210,Yes,CCCCCOc,585
56704,Yes,ccc(cc)N(CC)CC,583
52051,Yes,cc(n)C(=C(C)[N+])c1ccccc1,582
58969,Yes,ccc1ccc(C)cc1c,582
22193,No ,cc(c)C(N)=O,572
36507,No ,cnc1ccccc1c,569
54660,Yes,cc1ccccc1n(c)C,567
43041,Yes,COC(=O)C(C)N,566
11325,No ,Cc1cccc(N)c1,560
54319,Yes,cc1ccc2cccc3ccc(c)c1c23,559
6997,No ,CN1CCCCC1,559
5586,No ,CCc1ccccc1,557
59436,Yes,cn(c)-c1ccccc1,551
21572,No ,cc(c)C#N,548
43113,Yes,COC(C)=O,546
58720,Yes,ccc1c2cc(C)ccc2n(-c)c1c,541
53605,Yes,cc1cc(C)ccc1n(c)-c,538
4927,No ,CCN1CCN(c)CC1,535
40534,Yes,C=Cc1cc[n+](C)cc1,534
50431,Yes,cc(c)C(=O)c(c)c,528
8211,No ,CNc1ccc(C)cc1,527
21743,No ,cc(c)C(=O)N1CCNCC1,518
47994,Yes,cP(c)(=O)c1ccccc1,517
19506,No ,c[nH]c1ccccc1c,516
11485,No ,Cc1cccnc1,514
44905,Yes,Sc1ccccc1,508
50034,Yes,cc(c)-c1nnc(-c)o1,504
37667,No ,nCc1ccccc1,500
52953,Yes,cc1c2c(cccc2c)C(=O)N(C)C1,499
60839,Yes,sc1ccccc1,491
43882,Yes,Cc1ccc(C#N)cc1,488
59390,Yes,cn(c)-c1ccc(-c)cc1,488
28582,No ,ccc(F)c(c)C,482
43749,Yes,Cc1cc(C)cc(C)c1,479
51668,Yes,cc(c)c1cc(C(C)(C)C)ccc1n,478
27965,No ,ccc(C)c(c)C,476
6981,No ,CN1CCCC1,466
11454,No ,Cc1ccccc1N(C)C,466
6209,No ,CN(C)C(=O)c1ccccc1,466
15839,No ,cC(=O)N1CCC(C)CC1,466
46378,Yes,c-c1ccc(-c(n)o)cc1,464
10911,No ,Cc1ccc(Cl)cc1,463
41481,Yes,CC(C)(C)c1ccc(n)cc1,460
44481,Yes,N#Cc1ccccc1,460
38631,Yes,C#C[Si](C(C)C)(C(C)C)C(C)C,459
384,No ,CC(=O)N1CCN(c)CC1,456
36508,No ,cnc1ccccc1n,456
49048,Yes,cc(N)c1ccccc1c,456
49727,Yes,cc(c)-c1ccc(O)cc1,455
47588,Yes,cC=C(C#N)C#N,452
38794,Yes,C#Cc1ccccc1,449
58404,Yes,ccc1c(c)cc(n)c2ccccc12,447
58745,Yes,ccc1c2ccccc2n(C)c1c,442
50468,Yes,cc(c)C(C)(C)C(C)=[N+],442
15036,No ,c-c1ccc(F)cc1,442
56386,Yes,ccc(cc)-c1nnc(-c)o1,441
49153,Yes,cc(O)c1ccccc1c,439
60116,Yes,cnc1ccccc1n,435
1638,No ,CC(N)c1ccccc1,435
15941,No ,cC(=O)N1CCN(c)CC1,433
7087,No ,CN1CCOCC1,433
5590,No ,CCc1ccccc1C,432
24268,No ,cc(n)-c1ccccc1,432
50882,Yes,cc(c)C=O,429
40669,Yes,C=Cc1ccccc1,429
13405,No ,NC(=O)c1ccc(N)cc1,427
7169,No ,CNC(=O)C(C)C,427
44222,Yes,Cc1ccccc1N(c)c,426
6283,No ,CN(C)C1CC1,426
2276,No ,CC1CCCCC1,426
60331,Yes,coc1cc(N(C)C)ccc1c,423
42115,Yes,CCC(c)(C)c,422
30650,No ,ccc(cc)NC(=O)c(c)c,421
39550,Yes,C=C(c)c1ccc(C)cc1,420
14128,No ,Nc1ccccn1,420
47793,Yes,cN1CCCCC1,418
43974,Yes,Cc1ccc(N)cc1,417
10869,No ,Cc1ccc(C)cc1,414
56882,Yes,ccc(cc)[N+](=O)[O-],413
27988,No ,ccc(C)nc,412
42347,Yes,CCN(CC)c1cccc(o)c1,409
55624,Yes,ccc(C)c(c)C,409
50417,Yes,cc(c)C(=O)O,408
60629,Yes,nc(n)-c1ccccc1,407
28458,No ,ccc(Cl)c(c)C,407
945,No ,CC(C)C(N)=O,406
39658,Yes,C=C/C=C/c(cc)cc,405
50483,Yes,cc(c)C(C)C,404
13417,No ,NC(=O)c1ccc(O)cc1,401
56540,Yes,ccc(cc)C(F)(F)F,401
49686,Yes,cc(c)-c1ccc(C)cc1C,400
30033,No ,ccc(cc)C(=O)Nc(c)c,399
55805,Yes,ccc(O)c(c)C,399
313,No ,CC(=O)N1CCC(C)CC1,398
51057,Yes,cc(c)N1CCCCC1,396
58939,Yes,ccc1cc(cc)c(c)cc1c,395
42437,Yes,CCOC(C)=O,393
34097,No ,cn(n)-c1ccc(C)cc1,392
33760,No ,cn(C)c1ccccc1n,388
43861,Yes,Cc1ccc(-c(n)n)cc1,388
49760,Yes,cc(c)-c1ccc(c)cc1,387
44241,Yes,Cc1ccccn1,386
50472,Yes,cc(c)C(C)(C)c(c)c,386
37831,No ,nc(n)-c1ccccc1,385
42219,Yes,CCCCN,383
43302,Yes,COc1ccc(N)cc1,382
30148,No ,ccc(cc)C(F)(F)F,381
5603,No ,CCc1ccccc1N,378
51955,Yes,cc(n)-c1ccc(O)cc1,378
30618,No ,ccc(cc)N1CCNCC1,378
42192,Yes,CCCCCCN,374
44851,Yes,OCCOCCO,373
15581,No ,c-n1cccn1,372
59457,Yes,cn(c)CC,370
2340,No ,CC1CCCO1,370
39254,Yes,C=C(N)C(C)(C)c(c)c,370
10684,No ,Cc1cc2ccccc2[nH]1,369
55813,Yes,ccc(O)cc,369
42068,Yes,CCC(C)C,368
50490,Yes,cc(c)C(CC)(CCCC)c(c)c,368
11309,No ,Cc1cccc(Cl)c1,368
45633,Yes,[B-]n(c)c(C)cc,367
51256,Yes,cc(c)S(=O)(=O)O,366
38751,Yes,C#Cc1ccc(O)cc1,364
58220,Yes,ccc1c(c)cC(=O)N(CC)C1=O,364
33,No ,C1CC2CCCC(C1)C2,362
24405,No ,cc(n)C(=O)N(C)C,360
9475,No ,COc1ccccc1N,359
11437,No ,Cc1ccccc1CN,358
60202,Yes,coc(=O)c(c)C,356
48131,Yes,c[n+](c)[B-](F)(F)OC,356
60240,Yes,coc(nn)-c1ccccc1,355
11475,No ,Cc1ccccn1,355
11316,No ,Cc1cccc(F)c1,353
8412,No ,CNc1ccccc1C,352
60656,Yes,nc(o)-c1ccc(N)cc1,352
55425,Yes,ccc(/C=C/c(c)n)cc,351
59502,Yes,cn(n)-c1ccccc1,350
56241,Yes,ccc(cc)-c1cccc(C)c1,350
9444,No ,COc1ccccc1C,346
41456,Yes,CC(C)(C)OC(N)=O,346
15027,No ,c-c1ccc(Cl)cc1,345
60828,Yes,oc1ccccc1,344
44012,Yes,Cc1ccc([N+](=O)[O-])cc1,344
20052,No ,cc(C)c1ccccc1[nH],343
46686,Yes,c-c1nc2ccccc2o1,343
218,No ,CC(=O)N(C)C,340
42884,Yes,CNC(=O)OC,338
42885,Yes,CNC(=O)OC(C)(C)C,338
21718,No ,cc(c)C(=O)N1CCCCC1,338
17030,No ,cCN1CCC(N)CC1,337
8293,No ,CNc1ccc(O)cc1,337
6535,No ,CN(C)c1ccccc1O,336
50004,Yes,cc(c)-c1ncnc(-c(c)c)n1,336
49646,Yes,cc(c)-c1ccc(-c)cc1C,335
42348,Yes,CCN(CC)c1ccccc1,335
55745,Yes,ccc(Cl)cc,334
58979,Yes,ccc1ccc(N)cc1c,334
54321,Yes,cc1ccc2ccccc2c1,332
51889,Yes,cc(c)n(CC)c(c)c,332
40251,Yes,C=CC1=C(c(cc)cc)c(cc)n(c)[B-][N+]1=C,331
59472,Yes,cn(c)[B-](F)(F)[n+](c)c,330
24587,No ,cc(n)C(F)(F)F,330
16601,No ,cCC(=O)Nc,330
49714,Yes,cc(c)-c1ccc(N)cc1C,329
42483,Yes,CCOc1ccccc1,326
18222,No ,cNC(=O)N(C)C,324
27968,No ,ccc(C)c(c)N,324
14094,No ,Nc1cccc(Cl)c1,323
9488,No ,COc1ccccc1O,321
55505,Yes,ccc(Br)cc,320
28988,No ,ccc(OC)c(c)C,319
33431,No ,ccn(nc)-c1ccccc1,318
11339,No ,Cc1cccc(O)c1,318
31707,No ,ccc1[nH]cc(C)c1c,317
45024,Yes,[B-][N+](C)=C(C)C=C,316
53287,Yes,cc1cSc2ccccc2N1CC,316
42489,Yes,CCS(=O)(=O)[O-],315
50287,Yes,cc(c)B(c(c)c)c1c(C)cccc1C,315
22781,No ,cc(c)CN1CCNCC1,314
11561,No ,Cc1ccncc1,314
47752,Yes,cN(c)c1ccc(O)cc1,314
51207,Yes,cc(c)P(=O)(c(c)c)c1ccccc1,313
59148,Yes,ccc1oc(-c(c)c)nc1c,313
48983,Yes,cc(F)c(F)c(c)F,312
43120,Yes,COC(c)=O,312
2329,No ,CC1CCCN1C,311
51740,Yes,cc(c)c1ccc(C)cc1c,311
57062,Yes,ccc(sc)-c1ccccc1,310
58721,Yes,ccc1c2cc(C)ccc2n(C)c1c,308
45580,Yes,[B-]c1ccccc1,308
60358,Yes,coc1ccc(C)cc1n,307
44096,Yes,Cc1ccc2oc(-c)nc2c1,307
59059,Yes,ccc1nc(-c(c)c)oc1c,307
6136,No ,CN(C)C(=O)CN,306
46216,Yes,[nH]c1ccccc1,306
54290,Yes,cc1ccc2ccc(C)c3ccc(c)c1c23,306
46687,Yes,c-c1nc2ccccc2s1,306
55825,Yes,ccc(OC)c(c)C,305
14033,No ,Nc1ccc(F)cc1,304
24490,No ,cc(n)C(=O)NC,303
13596,No ,NC1CCCCC1,303
51951,Yes,cc(n)-c1ccc(N)cc1,302
18545,No ,cNC(C)=O,302
59995,Yes,cnc1c(n)cc(c)c2ccccc21,301
50972,Yes,cc(c)N(CC)CCCC,300
13208,No ,NC(=O)CN1CCNCC1,300
15116,No ,c-c1cccs1,300
51003,Yes,cc(c)N(c(c)c)c1cccc(C)c1,299
7404,No ,CNC(=O)c1ccccc1,299
11451,No ,Cc1ccccc1F,298
59157,Yes,ccc1oc(=O)c(C)cc1c,298
586,No ,CC(=O)Nc1ccccc1,297
37985,No ,nc(o)-c1ccccc1,297
55618,Yes,ccc(C)c(C)n,297
53194,Yes,cc1cN(C)CCC1,296
40,No ,C1CCCCC1,296
59821,Yes,cnc(nc)-c1ccccc1,296
51938,Yes,cc(n)-c1ccc(C)cc1,296
37530,No ,n-c1ccc(F)cc1,296
