,Fluorescent labeling,FRAGMENTS,FREQUENCY
40419,Yes,C=C[C@H](c(c)c)C1(C(C(=O)O)=C(C)N)c(cc)c(c)-c(c)c1cc,9
23964,No ,cc(c)c(c[nH])C(=O)NC(C)C,9
48101,Yes,c[n+](C)c1cc(Cl)c(Cl)cc1n,9
42920,Yes,CNCCCN(C)C,9
48105,Yes,c[n+](C)c1ccccc1[se],9
30044,No ,ccc(cc)C(=O)OCc,9
54773,Yes,cc1cnc2c(n1)[C@H]1CC[C@@]2(C)C1(C)C,9
18255,No ,cNC(=O)N1CCC[C@@H]1CO,9
30037,No ,ccc(cc)C(=O)Nc(n)n,9
42697,Yes,CN(C)C(C)(C)C,9
30013,No ,ccc(cc)C(=O)N(CC)c(n)s,9
5953,No ,CCn1cc(NC)cn1,9
18290,No ,cNC(=O)c(n)s,9
56997,Yes,ccc(oc)-c1cccc(-c)c1O,9
56999,Yes,ccc(oc)-c1cccc(O)c1,9
29994,No ,ccc(cc)C(=O)Cn(c)n,9
18314,No ,cNC(=O)c1cc(-n)ccn1,9
42772,Yes,CN(N)C=O,9
23975,No ,cc(c)c(c[nH])CC(NC)C(N)=O,9
9037,No ,COc1cc(C(C)=O)ccc1O,9
16101,No ,cC(=O)Nc1c(C)cccc1C,9
29958,No ,ccc(cc)-n1ncc(C)c1NC,9
18342,No ,cNC(=O)c1cc(C)no1,9
24746,No ,cc(n)Cn1ccc(N)n1,9
57031,Yes,ccc(sc)-c1cc(C)cc(C)c1,9
57037,Yes,ccc(sc)-c1cc(N)cc(C)c1-c(c)c,9
1223,No ,CC(C)NC(=O)C1CCC1,9
57049,Yes,ccc(sc)-c1cccc(-c)c1,9
57050,Yes,ccc(sc)-c1cccc(-c)c1O,9
40418,Yes,C=C[C@H](c(c)c)C1(C(C#N)=C(C)N)c(cc)c(c)-c(c)c1cc,9
9837,No ,C[C@@H]1Cc2ccccc2N1C,9
32396,No ,ccc1c(c)N(C)[C@H](C(N)=O)C1,9
57339,Yes,ccc1c(C(=O)CC)cc(C)cc1c,9
49063,Yes,cc(N)n1c(c)C=C(C)[N+](=CC)[B-]1(F)F,9
40334,Yes,C=CC1=[NH+]c(c(c)n)c(c)C1(C)C,9
18712,No ,cNCc1ccccc1OC,9
43034,Yes,COC(=O)C(=C(C)N)C(c)(C)c,9
3915,No ,CCCN(CCN)C(=O)Cc,9
18727,No ,cNCc1cn(-c)nn1,9
40313,Yes,C=CC1=[N+](CC)c(c(c)n)c(c)C1(C)C,9
29622,No ,ccc(cc)-c1c(C(F)(F)F)nn(c)c1nc,9
54299,Yes,cc1ccc2ccc([Si])c3ccc(c)c1c23,9
8624,No ,CNc1nccnc1n,9
15809,No ,cC(=O)N1CC(C)C(N)C1,9
43081,Yes,COC(=O)Oc,9
6972,No ,CN1CCCC(CO)C1,9
43089,Yes,COC(=O)c1[nH]c(C)c(C)c1C,9
40287,Yes,C=CC1=CCC=C(C=C)O1,9
24813,No ,cc(n)N(CC)CCCC,9
2269,No ,CC1CCCC1C,9
57353,Yes,ccc1c(C(=O)OC)cccc1c,9
57356,Yes,ccc1c(C(=O)c(c)c)c(C)c(c)cc1c,9
9126,No ,COc1cc(O)cc(O)c1,9
57362,Yes,ccc1c(C(C(N)=O)=C(C)c)c[nH]c1c,9
40267,Yes,C=CC1=C2CCC(=C)C2=[O+][B-]O1,9
57363,Yes,ccc1c(C(C(N)=O)=C(c)C)c[nH]c1c,9
2272,No ,CC1CCCC1N,9
4186,No ,CCN(C(C)=O)c1ccccc1NC,9
15858,No ,cC(=O)N1CCCC(C(F)(F)F)C1,9
54486,Yes,cc1cccc2c(C(C)(C)C)ccc(c)c12,9
57227,Yes,ccc1c(-n(nn)c(c)N)ccnc1c,9
32239,No ,ccc1c(c)CCCC1C(=O)Nc,9
18555,No ,cNC(C)c(n)o,9
6956,No ,CN1CCC2CCCCC2C1,9
48074,Yes,c[NH+]=C(/C=C1\C(=O)C=C1[O-])C(c)(C)C,9
42951,Yes,CNc1c(C)ccc2ccc(C)nc12,9
40391,Yes,C=CCOC(C)=O,9
40390,Yes,C=CCOC(=O)C(=C)C,9
5868,No ,CCn1c(-c)nc2ccccc21,9
40389,Yes,C=CCOC,9
57224,Yes,ccc1c(-n(c(c)c)c(c)c)cc(c)cc1c,9
57226,Yes,ccc1c(-n(cn)c(c)c)cccc1c,9
32262,No ,ccc1c(c)CCCN1C(=O)CC,9
49040,Yes,cc(N)c1cc(CC)c(C)cc1c,9
57239,Yes,ccc1c(/C=C/c)cc(c)cc1c,9
18610,No ,cNC1CCCOC1C,9
32270,No ,ccc1c(c)CCCN1C(=O)c(c)s,9
18611,No ,cNC1CCCOC1C(C)C,9
57249,Yes,ccc1c(/C=C\c)cc(=O)oc1c,9
60566,Yes,n-c1ccnc2cc(Cl)ccc12,9
54381,Yes,cc1cccc(-n(cn)c(c)c)c1,9
57271,Yes,ccc1c(=O)c(OC)c(-c)oc1c,9
40371,Yes,C=CC=Cc(n(c)C)[n+](c)C,9
48068,Yes,c[C@]12CC3CC(C[C@@H](C3)C1)C2,9
6966,No ,CN1CCCC(C)(C)C1,9
49209,Yes,cc([Si])c1ccc(c)cc1c,9
33043,No ,ccc1nc(CO)cn1c,9
54772,Yes,cc1cnc2c(n1)[C@@]1(C)CC[C@H]2C1(C)C,9
46734,Yes,c-c1sc2ccccc2c1P(c)(c)=O,9
9503,No ,COc1ccccc1o,9
10210,No ,Cc1cc(=O)oc2cc(O)ccc12,9
34580,No ,cnc(-c1ccccc1)c(-c)s,9
59598,Yes,cn1cC=C2C=CC=[N+]2[B-]1(F)F,9
13438,No ,NC(=O)c1cccc(C(N)=O)c1,9
26197,No ,cc1cCN(C(C)C)CC1,9
13434,No ,NC(=O)c1cccc(Br)c1,9
46629,Yes,c-c1cnc(O)c(C#N)c1,9
46630,Yes,c-c1cnc(O)c(C)c1,9
22409,No ,cc(c)C1CCCN1C(=O)C(C)C,9
46650,Yes,c-c1csc(/C(C#N)=C\N)n1,9
239,No ,CC(=O)N(C)Cc(n)n,9
60051,Yes,cnc1cc(Cl)ccc1c,9
11900,No ,Cc1nc(C(=O)N(C)c)nn1-c,9
3405,No ,CCC(O)(CC)CN,9
10383,No ,Cc1cc(C)nc(N)n1,9
632,No ,CC(=O)Nc1nc(-c)ns1,9
3410,No ,CCC(O)C(C)C,9
59010,Yes,ccc1ccccc1[nH],9
47294,Yes,cC(=O)N(c1ccccc1)C(C)N,9
49879,Yes,cc(c)-c1cnc(O)c(C#N)c1,9
34615,No ,cnc(-c1sc(N)nc1C)n(c)C,9
22484,No ,cc(c)C1CNCCO1,9
4671,No ,CCN(CCCN)c(n)s,9
8261,No ,CNc1ccc(F)cc1Cl,9
9509,No ,COc1cccnc1NC(c)=O,9
13107,No ,NC(=O)C1(O)CCC1,9
46502,Yes,c-c1ccc([Si](C)(C)c)c(C)c1,9
50711,Yes,cc(c)C1=C2C=C(Cl)C(c)=[N+]2[B-](F)(F)nc1c,9
21543,No ,cc(c)-n1nnn(CC)c1=O,9
59079,Yes,ccc1nc(C(C)C)c(C)nc1c,9
59076,Yes,ccc1nc(C(C)(C)C)c(C)nc1c,9
8250,No ,CNc1ccc(F)c(Cl)c1,9
10353,No ,Cc1cc(C)cc([nH])c1,9
4695,No ,CCN(CCNC)C(C)=O,9
10220,No ,Cc1cc(Br)ccc1O,9
34880,No ,cnc(CN(CC)c(c)c)on,9
38165,No ,nc1cC(N)CCC1,9
46597,Yes,c-c1ccccc1[Si](c)(c)c,9
34539,No ,cn1nc(N)ccc1nn,9
27043,No ,cc1cncc(C(=O)OC)c1NC,9
38144,No ,nc(s)N1CCOCC1,9
22834,No ,cc(c)CNC(CC)CN,9
26259,No ,cc1cN(C)CCN1C(c)=O,9
46581,Yes,c-c1ccccc1F,9
50634,Yes,cc(c)C1=C(C)[N+][B-](F)(F)n2c1cc(Cl)c2-c,9
13475,No ,NC(=O)c1ccccc1S,9
13997,No ,Nc1cc(o)ccn1,9
13460,No ,NC(=O)c1cccc2cc[nH]c12,9
10389,No ,Cc1cc(C)nc(n)c1,9
3657,No ,CCC1CCN(C)CC1C,9
46902,Yes,c/C=C1\CCC2=C(C)O[B-](F)(F)[O+]=C21,9
45602,Yes,[B-]n(c)c(-c1ccccc1)c(c)Cl,9
8277,No ,CNc1ccc(N)cc1Cl,9
51696,Yes,cc(c)c1cc(F)ccc1c,9
5001,No ,CCNC(=O)c(cn)c(C)n,9
21304,No ,cc(c)-n1c(C)nnc1SCC,9
34680,No ,cnc(C(=O)Nc(n)s)c(n)N,9
49835,Yes,cc(c)-c1ccccn1,9
12945,No ,Fc1ccc(CS)cc1,9
21296,No ,cc(c)-n1c(C)nc(c)c1c,9
14119,No ,Nc1ccccc1C(=O)O,9
37452,No ,csc1cc(C(N)=O)ccc1n,9
3475,No ,CCC(c1noc(C)n1)N(C)C,9
13303,No ,NC(=O)Nc1ccccc1F,9
58934,Yes,ccc1cc(c(c)c)c(o)cc1c,9
12019,No ,Cc1nc(N)sc1-c(n)n,9
60087,Yes,cnc1ccc(Cl)cc1c,9
33952,No ,cn(c)Cc1cc(C)ccc1C,9
4552,No ,CCN(CC)c1cccc(C)n1,9
11702,No ,Cc1cnc2c(S)cccc2c1,9
3674,No ,CCC1CN(C(C)=O)CCN1C,9
37932,No ,nc(n)N1CCOCC1,9
27229,No ,cc1nc(CNC)cn1c,9
22616,No ,cc(c)CCNC(c)=O,9
37749,No ,nc(N)n1ccccc1n,9
45543,Yes,[B-][n+]1nnn([B-]([N+])(F)F)c1C,9
46848,Yes,c/C=C/c1ccc(-c)s1,9
3453,No ,CCC(c1ccccc1)C(C)N,9
37459,No ,csc1cc(NC)ccc1n,9
59894,Yes,cnc(sc)/C(C#N)=C\Nc,9
23067,No ,cc(c)N(C(C)=O)C(C)C,9
50459,Yes,cc(c)C(C(C#N)=C(C#N)N(C)C)(c(c)c)C(C)c,9
8270,No ,CNc1ccc(N)c(Cl)c1,9
10393,No ,Cc1cc(C)ncn1,9
4621,No ,CCN(CC)c1ncccc1F,9
13379,No ,NC(=O)c1ccc(CO)o1,9
46769,Yes,c/C=C(\C#N)C(=O)OCC,9
51625,Yes,cc(c)c1c(n)cc(n)c2c(c)c(c)n(CC)c12,9
49851,Yes,cc(c)-c1ccnc(OC)c1C#N,9
38014,No ,nc(o)C1(c2ccccc2)CC1,9
11720,No ,Cc1cnc2ccccc2c1N(C)C,9
58977,Yes,ccc1ccc(N)[n+]c1c,9
46790,Yes,c/C=C/C(=O)OC(C)C,9
46798,Yes,c/C=C/C1=C(CC)C(C)=[O+][B-](F)(F)O1,9
13359,No ,NC(=O)c1cc(S(N)(=O)=O)ccc1O,9
50149,Yes,cc(c)-n1nnc(C#N)c1N,9
33983,No ,cn(c)Cc1csc(-c)n1,9
10418,No ,Cc1cc(Cl)c(=O)n(C)c1,9
50150,Yes,cc(c)-n1nnc(C)c1N,9
14093,No ,Nc1cccc(CO)c1,9
13340,No ,NC(=O)c1cc(Cl)ccc1F,9
13527,No ,NC(=O)c1csc2ccccc12,9
49910,Yes,cc(c)-c1nc(-c(c)c)n(C)c1-c,9
21570,No ,cc(c)-n1nnnc1SCc,9
45783,Yes,[B-]n1c(C(=C)c)cc(Cl)c1-c,9
51043,Yes,cc(c)N1C(=O)cc(c)NC1C(C)(C)C,9
13710,No ,NCC1CCOCC1,9
59241,Yes,ccc1sccc1c,9
13704,No ,NCC1CCN(C(N)=O)C1,9
51030,Yes,cc(c)N/C=C(/C#N)c(n)s,9
21993,No ,cc(c)C(C)N1CCNCC1,9
59348,Yes,cn(C)c1cc(Cl)c(Cl)cc1[n+],9
51174,Yes,cc(c)OP1(Oc(c)c)=NP(O)(O)=NP(O)(O)=N1,9
46052,Yes,[N+]CCC(=O)O,9
13694,No ,NCC1CCCCC1O,9
21826,No ,cc(c)C(=O)NC1CC1c,9
13060,No ,N#Cc1cccc(O)c1,9
8201,No ,CNc1ccc(C)c(F)c1,9
11994,No ,Cc1nc(Cn)no1,9
3185,No ,CCC(CN)C(=O)O,9
46226,Yes,[se]c1ccccc1,9
50989,Yes,cc(c)N(c(c)c)c1c(C)c(C)cc(C)c1C,9
46025,Yes,[B-]n1nn[n+]2c1C(=C)cn(c)[B-]2(F)F,9
46024,Yes,[B-]n1nn[n+]([B-](n)(F)F)c1C,9
22917,No ,cc(c)Cc1ccccc1,9
10302,No ,Cc1cc(C)c(C)o1,9
11827,No ,Cc1csc2c1CCC(C)C2,9
34233,No ,cn(n)C(C)(C)C,9
37625,No ,nCCc1ccccc1,9
34328,No ,cn(n)Cc1cccc(F)c1,9
46181,Yes,[n+]c1ccc(Cl)c(Cl)c1,9
59987,Yes,cnc1c(n)[C@H]2CC[C@@]1(C)C2(C)C,9
13753,No ,NCCc1ccccn1,9
59976,Yes,cnc1c(c)nc(CC)n1[C@@H](CC)OC,9
3228,No ,CCC(CN)N1CCCC1,9
11807,No ,Cc1csc(C(C)C)n1,9
21910,No ,cc(c)C(C(=O)N(CC)CC)N(C)C,9
3221,No ,CCC(CN)N(C)C,9
22950,No ,cc(c)Cc1noc(-c)n1,9
21937,No ,cc(c)C(C)(C)C,9
59986,Yes,cnc1c(n)[C@@]2(C)CC[C@H]1C2(C)C,9
51080,Yes,cc(c)N1c(c)cN=c2ccc(=N)cc21,9
51069,Yes,cc(c)N1c(c)c=Nc2ccc(O)cc21,9
26620,No ,cc1cc(N)nc(N(CC)CC)n1,9
26687,No ,cc1ccc(C)cn1,9
3213,No ,CCC(CN)CNC(N)=O,9
4463,No ,CCN(CC)CC(=O)N(c)C,9
46107,Yes,[NH2+]=c1ccc-c(o)c1,9
46103,Yes,[NH+]c1cccc2cccnc12,9
51144,Yes,cc(c)OC(=O)OC(C)C,9
13036,No ,N#Cc1ccc(N)c(F)c1,9
46092,Yes,[N+]c1cccc2cccnc12,9
8196,No ,CNc1ccc(C)c(C(N)=O)c1,9
46175,Yes,[n+]c(n)C=CC=C(N)N,9
13661,No ,NCC(O)C1CC1,9
38331,No ,ncn(nn)-c1cccc(N)c1,9
26529,No ,cc1cc(C)cc(NC(C)C)n1,9
3636,No ,CCC1CCCN(Cc)C1,9
10325,No ,Cc1cc(C)c2cc(C)[nH]c2c1,9
59143,Yes,ccc1oc(-c(c)c)c(O)cc1c,9
59139,Yes,ccc1o/c(=N\S)c(-c)cc1c,9
60017,Yes,cnc1c2c(ccc1c)C(C)(C)C(C)=[NH+]2,9
51379,Yes,cc(c)[Si](C)(C)C(C)(C)C,9
50803,Yes,cc(c)C1=[N+]2C(=C(c)cn(c)[B-]2(F)F)C=C1Cl,9
34493,No ,cn1cccc(NC(c)=O)c1,9
50783,Yes,cc(c)C1=NN(C=O)[C@@H](c)C1,9
51394,Yes,cc(c)[Si](F)(c(c)c)c1ccccc1,9
50782,Yes,cc(c)C1=NN(C)[C@@H](c(c)c)C1,9
4447,No ,CCN(CC)C1CCCN(C)C1,9
37658,No ,nCc1cccc(C(N)=O)c1,9
47096,Yes,c=Nc1ccc(O)cc1N,9
22236,No ,cc(c)C(NC)c1nccn1C,9
34513,No ,cn1cnc(C)cc1C,9
59499,Yes,cn(n)-c1cccc(C)c1,9
21603,No ,cc(c)C(=O)N(C)C(C)c(c)c,9
59500,Yes,cn(n)-c1cccc(Cl)c1,9
51417,Yes,cc(c)[n+](CC)c(C)n,9
59506,Yes,cn(n)-c1ccnc2ccccc12,9
47094,Yes,c=Nc1cc(C(C)(C)C)ccc1O,9
38185,No ,nc1cc(S)ncn1,9
60016,Yes,cnc1c2c(ccc1c)C(C)(C)C(C)=[N+]2CC,9
9534,No ,COc1cnccn1,9
46274,Yes,c-c1cc(-c)ncn1,9
46356,Yes,c-c1cc2ccc(O)cc2o1,9
50941,Yes,cc(c)C[C@@H](OC(C)=O)C(=O)O,9
25687,No ,cc(s)Cc1cccc(F)c1,9
13859,No ,NCc1cnc2ccccn12,9
13631,No ,NC1CCc2nccn2C1,9
51288,Yes,cc(c)[B-]([O+]=P(c(c)c)(c(c)c)c(c)c)(c(c)c)c(c)c,9
59948,Yes,cnc1c([nH])C[C@](C)(S)[C@@]2(C)SC(=O)C=C12,9
259,No ,CC(=O)N(CC(=O)N(C)C)C(C)=O,9
11844,No ,Cc1n[nH]c(=O)c2ccccc12,9
26451,No ,cc1cc(C(=O)N(C)C)n(C)c1c,9
50881,Yes,cc(c)C=NCCO,9
476,No ,CC(=O)NC1CCCN(c)C1,9
60013,Yes,cnc1c2c(c(c)cc1n)OCC(Br)C2,9
26869,No ,cc1ccoc1c,9
26871,No ,cc1ccsc1c,9
3154,No ,CCC(CN(CC)CC)N(C)C,9
13604,No ,NC1CCCOC1,9
21695,No ,cc(c)C(=O)N1CCCC(C)C1CC,9
3152,No ,CCC(CN(CC)C(c)=O)N(C)C,9
26899,No ,cc1cn[nH]c1c,9
51329,Yes,cc(c)[C@H]1CC(c)=NN1C=O,9
46376,Yes,c-c1ccc(-c(n)n)cc1C(C)(C)c,9
45901,Yes,[B-]n1c(C)cc(Cl)c1-c(c)c,9
50173,Yes,cc(c)/C=C(\C#N)C(=O)OC,9
4955,No ,CCNC(=O)C(C)C,9
13234,No ,NC(=O)Cc1csc(N)n1,9
25934,No ,cc1c(c)n(Cc)c(=O)n1CC,9
59768,Yes,cnc(O)c(c)C,9
37376,No ,csc(nn)NC(=O)Cc,9
11956,No ,Cc1nc(CC(N)=O)cs1,9
21169,No ,cc(c)-c1nnc(S)n1N,9
10436,No ,Cc1cc(Cl)cc2c1OCC2,9
13244,No ,NC(=O)N1CCC(N)C1,9
27354,No ,cc1ncccn1,9
13263,No ,NC(=O)N1CCC[C@@H]1CO,9
3035,No ,CCC(CC)N1CCCC1C(N)=O,9
34813,No ,cnc(CN(C)C(C)=O)n(c)C,9
22628,No ,cc(c)CN,9
46919,Yes,c/C=C\c1cccc(S)c1,9
12909,No ,FC(F)(F)c1ccccc1Cl,9
49809,Yes,cc(c)-c1cccc2cccc(-c(c)c)c12,9
21222,No ,cc(c)-c1noc(C(C)C)n1,9
49798,Yes,cc(c)-c1cccc(C)c1,9
46922,Yes,c/C=N/CCC,9
59769,Yes,cnc(OC)c(c)C,9
58885,Yes,ccc1cc(N)ccc1c,9
230,No ,CC(=O)N(C)C1CCCCC1,9
11950,No ,Cc1nc(C2CC2)no1,9
21181,No ,cc(c)-c1nnc(SC)n1N,9
45408,Yes,[B-][O+]=C1C(=C)CC/C1=C\c(c)c,9
58870,Yes,ccc1cc(CC)c(C)[o+]c1c,9
25472,No ,cc(s)-c1nc(C)c(C)o1,9
27245,No ,cc1nc(COc)cc(=O)n1,9
51870,Yes,cc(c)n(-c1ccccn1)c(c)c,9
50237,Yes,cc(c)/C=N/CCC,9
25475,No ,cc(s)-c1nc(C)cs1,9
59764,Yes,cnc(N)c(c)n,9
60103,Yes,cnc1ccc(O)cc1s,9
45456,Yes,[B-][n+]1c(C)csc1N,9
45418,Yes,[B-][n+](c)c(C)cs,9
21171,No ,cc(c)-c1nnc(SC)[nH]1,9
59755,Yes,cnc(CCCC)n(c)C,9
22686,No ,cc(c)CN(C)S(=O)(=O)c(c)c,9
37377,No ,csc(nn)NC(=O)N(C)C,9
7538,No ,CNC(C)C1CC1,9
59806,Yes,cnc(cn)-c1cccc(F)c1,9
57251,Yes,ccc1c(/C=N/C)cccc1c,8
42987,Yes,CNc1ccc(F)cc1,8
60815,Yes,oc1ccc2ccc(O)cc2c1,8
60573,Yes,nS(=O)(=O)c1ccccc1,8
57260,Yes,ccc1c(/N=C(/c)N)n([Si](n)(O)O)c(N)c1c,8
56161,Yes,ccc(cc)-c1cc(-c)nn1-c(c)c,8
46365,Yes,c-c1cc[n+](C)cc1,8
42983,Yes,CNc1ccc(Cl)cc1,8
49034,Yes,cc(N)c1c(N)cccc1c,8
41608,Yes,CC(C)[C@@H]1CCC(=O)C1(C)C,8
46373,Yes,c-c1ccc(-c(n)n)c2ccccc12,8
57263,Yes,ccc1c(/N=N/c)cccc1c,8
59434,Yes,cn(c)-c1cccc(S(c)(=O)=O)c1,8
6480,No ,CN(C)c1cc(N(C)C)ncn1,8
55724,Yes,ccc(CO)c(c)O,8
42978,Yes,CNc1ccc(C)cc1C,8
4755,No ,CCN(Cc)CCNC,8
54456,Yes,cc1cccc([Si])c1,8
9629,No ,CS(=O)C(C)(C)CN,8
26388,No ,cc1cc(=O)[nH]c(CSc)n1,8
60811,Yes,oc1ccc(I)c([O-])c1I,8
54451,Yes,cc1cccc([O-])c1,8
15928,No ,cC(=O)N1CCN(C)C(C)C1,8
55909,Yes,ccc(c(c)-c)S(=O)(=O)[O-],8
54446,Yes,cc1cccc([C@H](C)C(=O)O)c1,8
9100,No ,COc1cc(Cl)c(N)cc1O,8
54439,Yes,cc1cccc(OC)c1n(c)C,8
22171,No ,cc(c)C(CN)c1ccccc1,8
2192,No ,CC1CC1c1ccccc1F,8
42965,Yes,CNc1cc(OC)c(C)cc1C,8
22165,No ,cc(c)C(CN)N1CCCCC1,8
18607,No ,cNC1CCCN(c(n)n)C1,8
50856,Yes,cc(c)C1CC1,8
54421,Yes,cc1cccc(Cn(c)c)c1,8
2200,No ,CC1CC2CCC1O2,8
46991,Yes,c1cnccn1,8
15914,No ,cC(=O)N1CCCc2c(C)cccc21,8
59935,Yes,cnc1c(N)nc(N)nc1n,8
11849,No ,Cc1n[nH]c(C)c1Br,8
46390,Yes,c-c1ccc(Br)cc1C(C)(C)c,8
101,No ,C=C(C)n1c(=O)n(CC)c(c)c1c,8
6583,No ,CN(C)c1ncc(Cl)cn1,8
5866,No ,CCn1c(-c)cc2ccccc21,8
57238,Yes,ccc1c(/C=C/c)cc(=O)oc1c,8
57240,Yes,ccc1c(/C=C/c)cc(n)cc1c,8
47139,Yes,c=[N+]1CCN(C(=O)O)CC1,8
55951,Yes,ccc(c(c)C)N1c(cc)c(c)Cc(c)c1cc,8
24778,No ,cc(n)N(C)C(C)=O,8
43025,Yes,CNc1nccc(n)n1,8
60559,Yes,n-c1cccc(S)c1,8
18679,No ,cNCc1cc(-c)no1,8
43013,Yes,CNc1cccc2ccccc12,8
47142,Yes,c=[N+]1CCOCC1,8
29660,No ,ccc(cc)-c1cc(c)c(n)s1,8
29659,No ,ccc(cc)-c1cc(c)c(c)n1CC,8
43019,Yes,CNc1ccccc1N,8
43020,Yes,CNc1ccccc1NC(C)=O,8
43024,Yes,CNc1ncc(n)cn1,8
38249,No ,nc1ccncc1,8
15836,No ,cC(=O)N1CCC(C)C1,8
48055,Yes,c[B-]([N+])(O)c1ccccc1O,8
46945,Yes,c/N=N/c1cc(N)ccc1S(=O)(=O)O,8
48573,Yes,cc(=O)n1c(=O)c(C)c(O)n1c,8
18627,No ,cNC1CCN(c)C1=O,8
48048,Yes,cSc1ccccc1,8
17111,No ,cCN1CCOc2ccccc21,8
9959,No ,Cc(n)c(cn)C(=O)Nc(n)s,8
15826,No ,cC(=O)N1CC2CCC1C2,8
6976,No ,CN1CCCC(NS(C)(=O)=O)C1,8
59944,Yes,cnc1c(OCc)nc(N)nc1n,8
18724,No ,cNCc1ccnn1C,8
8627,No ,CNc1ncn(C)n1,8
46946,Yes,c/N=N/c1cc(S)ccc1C(=O)O,8
38270,No ,ncc(Br)cn,8
46947,Yes,c/N=N/c1cc(S)ccc1S(=O)(=O)O,8
15818,No ,cC(=O)N1CC(O)C1,8
18736,No ,cNCc1cnn(C)c1,8
18672,No ,cNCc1c(C)nn(C)c1C,8
54358,Yes,cc1ccc2oc(c)c(c(c)c)c2c1,8
48060,Yes,c[B-](c)([n+])c1ccccc1,8
29680,No ,ccc(cc)-c1cccnc1,8
42995,Yes,CNc1ccc(S)c(N=N)c1,8
1143,No ,CC(C)N1C(=O)CCC1=O,8
46364,Yes,c-c1cc2scc(C)c2s1,8
42996,Yes,CNc1ccc(S)cc1,8
57270,Yes,ccc1c(=O)c(O)coc1c,8
55946,Yes,ccc(c(c)C)N(c(cc)c(c)C)c(cc)c(c)c,8
3305,No ,CCC(CO)Nc,8
2181,No ,CC1CC1CN,8
25907,No ,cc1c(c)N(Cc)CC1,8
56145,Yes,ccc(cc)-c1cc(-c)cc(c)c1cc,8
9955,No ,Cc(n)c(cn)C(=O)NC(C)C,8
29694,No ,ccc(cc)-c1cn(C)nn1,8
57273,Yes,ccc1c(=O)c(OC)coc1c,8
11848,No ,Cc1n[nH]c(C(N)=O)c1Br,8
35692,No ,cnc(co)CN(CC)CC,8
40369,Yes,C=CC=CC=C(N)O,8
40368,Yes,C=CC=CC=C(C)C,8
40367,Yes,C=CC=C1Oc(c)c(c)N1CC,8
54375,Yes,cc1ccc[n+]2cccc(c)c12,8
37642,No ,nCc1ccc(Br)cc1,8
59428,Yes,cn(c)-c1cccc(C(C)(C)C)c1,8
57287,Yes,ccc1c(=O)n(C(C)=O)c(C)cc1c,8
4183,No ,CCN(C(C)=O)c1ccccc1Cl,8
48066,Yes,c[C@H]1C[C@H](O)[C@@H](CO)O1,8
57290,Yes,ccc1c(=O)n(C(c)C)n(C)cc1c,8
40362,Yes,C=CC=C(C#N)C#N,8
11305,No ,Cc1cccc(CS(C)=O)c1,8
40403,Yes,C=CN(c1ccccc1)C(C)C,8
25734,No ,cc1[nH]c(C(=O)Nc)c(Cl)c1c,8
42943,Yes,CNc(n)n,8
36052,No ,cnc(oc)-c1cccc(F)c1,8
3567,No ,CCC1C(NC(C)=O)CCN1C,8
41634,Yes,CC(F)(F)C(F)(F)C(F)(F)CCO,8
16060,No ,cC(=O)NC1CCN(c)C1,8
48100,Yes,c[n+](-c)c1cc(N)c(C)cc1n,8
59492,Yes,cn(n)-c1c(C#N)c(c(n)N)c(n)n1C,8
42784,Yes,CN(c)C(=CC1=C([O-])CC1=O)C(c)(C)C,8
29920,No ,ccc(cc)-n1cnnc1SC,8
29919,No ,ccc(cc)-n1cnnc1NC,8
13545,No ,NC(=O)c1nnc(=O)c2ccccc12,8
41633,Yes,CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,8
50770,Yes,cc(c)C1=CC=[O+][B-](OC)(OC)O1,8
55892,Yes,ccc([se]c)-c1ccccc1,8
42793,Yes,CN(c)CCN(C)C,8
48099,Yes,c[c+](c)-c1ccccc1,8
29907,No ,ccc(cc)-n1ccnc1SC,8
16048,No ,cC(=O)NC1CCCCC1C,8
47100,Yes,c=[N+](C)CCC(=O)O,8
32152,No ,ccc1c(c)CC(C)N1C(=O)CN,8
34503,No ,cn1ccnc(N)c1,8
38200,No ,nc1ccc(Cl)c(Cl)c1,8
29895,No ,ccc(cc)-n1ccc(N)n1,8
54618,Yes,cc1ccccc1C(C)=O,8
57081,Yes,ccc(sc)-c1sc(-c)cc1CC,8
42810,Yes,CN1C(=O)c2ccc(N)cc2C1=O,8
47101,Yes,c=[N+](C)CCC(=O)OC,8
2114,No ,CC1C2CCCCC12,8
37775,No ,nc([nH])-c1ccccc1,8
42811,Yes,CN1C(=O)c2ccccc2C1=O,8
42818,Yes,CN1C=Cc2ccc(O)cc2B1O,8
17176,No ,cCNC(=O)N(CC)Cc,8
56185,Yes,ccc(cc)-c1cc(C)ccc1-c(c)c,8
37846,No ,nc(n)-c1ccoc1,8
35743,No ,cnc(cs)-c1ccccc1Cl,8
13185,No ,NC(=O)CC1CCCCC1,8
38183,No ,nc1cc(O)ncn1,8
24285,No ,cc(n)-c1cnn(C)c1,8
57029,Yes,ccc(sc)-c1cc(C)c(-c)s1,8
48955,Yes,cc(Cl)c(C)c(C)n,8
46490,Yes,c-c1ccc(S(c)(=O)=O)c(-c)c1,8
24286,No ,cc(n)-c1csc(N)n1,8
41644,Yes,CC(N)C#N,8
29955,No ,ccc(cc)-n1ncc(C)c1C(F)(F)F,8
