,CATEGORY,FRAGMENTS,FREQUENCY
0,Yes,[16*]c1ccc([16*])cc1,3954
1,Yes,[16*]c1ccccc1,3224
2,Yes,[7*]C[8*],3101
3,Yes,[3*]OC,2925
4,Yes,[5*]N(C)C,1965
5,Yes,[5*]N([5*])[5*],1701
6,Yes,[3*]O[3*],1661
7,Yes,[4*]CC,1144
8,Yes,[5*]N[5*],1042
9,Yes,[1*]C([6*])=O,719
10,Yes,[8*]C(C)(C)C,660
11,Yes,[7*]CC[7*],473
12,Yes,[8*]CC,457
13,Yes,[4*]C(C)(C)C,431
14,Yes,[7*]C(C#N)C#N,417
15,Yes,[9*]n1c2ccccc2c2ccccc21,402
16,Yes,[8*]C(F)(F)F,402
17,Yes,[16*]c1ccc(C)cc1,379
18,Yes,[1*]C([1*])=O,352
19,Yes,[14*]c1ccc([14*])s1,347
20,Yes,[14*]c1nc2cc([16*])ccc2o1,297
21,Yes,[4*]C[8*],289
22,Yes,[14*]c1cccs1,273
23,Yes,[9*]n1c2ccccc2c2cc([16*])ccc21,264
24,Yes,[1*]C(=O)C([4*])C[8*],244
25,Yes,[6*]C(=O)O,237
26,Yes,[16*]c1ccc(C#N)cc1,231
27,Yes,[14*]c1nnc([14*])o1,225
28,Yes,[14*]c1nc2ccccc2s1,215
29,Yes,[6*]C(=O)C[7*],214
30,Yes,[7*]C([8*])C#N,212
31,Yes,[4*]CC[4*],211
32,Yes,[8*]C[8*],208
33,Yes,[7*]CC([7*])[8*],207
34,Yes,[16*]c1ccc2cc([16*])c(=O)oc2c1,203
35,Yes,[16*]c1ccccc1[16*],202
36,Yes,[4*]CCCC,202
37,Yes,[16*]c1ccc([N+](=O)[O-])cc1,195
38,Yes,[9*]n1c2ccc([16*])cc2c2cc([16*])ccc21,186
39,Yes,[16*]c1ccc2ccc3cccc4ccc1c2c34,185
40,Yes,[14*]c1ccccn1,183
41,Yes,[16*]c1ccc([16*])c([16*])c1,176
42,Yes,[8*]CCCC,176
43,Yes,[5*]N1CCCCC1,175
44,Yes,[16*]c1cccc([16*])c1,171
45,Yes,[14*]c1nc([14*])nc([14*])n1,163
46,Yes,[16*]c1ccncc1,163
47,Yes,[8*]C(C)C,160
48,Yes,[16*]c1c2ccccc2cc2ccccc12,150
49,Yes,[10*]N1C(=O)c2cccc3c([16*])ccc(c23)C1=O,144
50,Yes,[16*]c1cccc2ccccc12,142
51,Yes,[8*]CO,135
52,Yes,[1*]C(C)=O,134
53,Yes,[16*]c1ccc(Cl)cc1,127
54,Yes,[6*]C([6*])=O,126
55,Yes,[8*]CCCCCC,123
56,Yes,[6*]C(C)=O,121
57,Yes,[5*]N1CCOCC1,114
58,Yes,[16*]c1cc([16*])cc([16*])c1,114
59,Yes,[7*]C([8*])[8*],109
60,Yes,[7*]C1CCC([7*])C1=O,107
61,Yes,[16*]c1ccc(F)cc1,107
62,Yes,[16*]c1c2ccccc2c([16*])c2ccccc12,105
63,Yes,[16*]c1cc([16*])c([16*])cc1[16*],103
64,Yes,[1*]C(=O)C[7*],103
65,Yes,[16*]c1ccc2c3c(cccc13)C(=O)c1ccccc1-2,100
66,Yes,[14*]c1nc2ccc([16*])cc2s1,98
67,Yes,[14*]c1nc([14*])c([14*])[nH]1,95
68,Yes,[7*]C1C(=O)Nc2ccccc21,94
69,Yes,[16*]c1ccc(Br)cc1,92
70,Yes,[5*]N1c2ccccc2C(C)(C)c2ccccc21,91
71,Yes,[4*]CCCCCC,91
72,Yes,[1*]C(=O)C[4*],90
73,Yes,[16*]c1ccccc1O,89
74,Yes,[9*]n1c([14*])nc2c3ccccc3c3ccccc3c21,89
75,Yes,[16*]c1ccc2ccccc2c1,86
76,Yes,[5*]N([5*])C,86
77,Yes,[11*]SC,85
78,Yes,[14*]c1cc([14*])nc([14*])n1,85
79,Yes,[14*]c1csc([14*])n1,84
80,Yes,[9*]n1c([14*])nc2c3ccc([16*])cc3c3cc([16*])ccc3c21,82
81,Yes,[16*]c1ccc(O)c([16*])c1,82
82,Yes,[5*]N1CCCC1,82
83,Yes,[4*]CCCCCCCC,82
84,Yes,[14*]c1cc([16*])cc([14*])n1,77
85,Yes,[16*]c1ccc(O)cc1,75
86,Yes,[14*]c1nc2ccccc2o1,75
87,Yes,[8*]C(CCCCCC)CCCCCC,72
88,Yes,[13*]C1CC(c2ccc(O)cc2)=NN1c1ccc(S(N)(=O)=O)cc1,70
89,Yes,[16*]c1ccc2c(c1)C(CC)(CC)c1cc([16*])ccc1-2,70
90,Yes,[16*]c1ccc([16*])c2nsnc12,70
91,Yes,[5*]NC,70
92,Yes,[9*]n1cc([16*])c([14*])n1,70
93,Yes,[13*][C@H]1C[C@H](O)[C@@H]([13*])O1,68
94,Yes,[4*]CCCCCCCCCCCC,68
95,Yes,[14*]c1cc2ccccc2s1,67
96,Yes,[14*]c1nc2c3ccccc3c3ccccc3c2[nH]1,65
97,Yes,[6*]C(=O)[O-],65
98,Yes,[1*]C(=O)C([7*])C#N,65
99,Yes,[7*]CC1=CC([7*])CC(C)(C)C1,64
100,Yes,[4*]CCC,64
101,Yes,[14*]c1nc([14*])n2ccccc12,62
102,Yes,[5*]N1c2ccccc2Sc2cc([16*])ccc21,62
103,Yes,[16*]c1cc([16*])c([16*])c([16*])c1,61
104,Yes,[14*]c1cc2c(s1)c([16*])cc(=O)n2C,61
105,Yes,[16*]c1ccc([16*])c(C=O)c1,60
106,Yes,[16*]c1cc2ccccc2oc1=O,56
107,Yes,[16*]c1ccc2cc([16*])ccc2c1,56
108,Yes,[16*]c1cc2c3ccccc3n(C)c2cc1[16*],54
109,Yes,[7*]CC1=[N+](C)c2ccccc2C1(C)C,54
110,Yes,[16*]c1ccc(C2=C3C=CC(C)=[N+]3[B-](F)(F)n3c(C)ccc32)cc1,53
111,Yes,[8*]CC(CC)CCCC,53
112,Yes,[16*]c1cc2c3c(c1)CCCN3CCC2,53
113,Yes,[4*]CCO,52
114,Yes,[9*]n1c([14*])nc2ccccc21,51
115,Yes,[11*]S[11*],51
116,Yes,[16*]c1cc[n+](C)cc1,51
117,Yes,[16*]c1ccc(/C=N/c2cc([16*])c(O)cc2C)cc1,51
118,Yes,[14*]c1ccc([16*])cn1,51
119,Yes,[7*]C1N=C(c2ccccc2)OC1=O,50
120,Yes,[16*]c1ccc([16*])c(O)c1,49
121,Yes,[5*]N1c2ccccc2Oc2ccccc21,49
122,Yes,[16*]c1ccc([N+](=O)[O-])cc1[N+](=O)[O-],48
123,Yes,[16*]c1ccc2c3cccc4c([16*])ccc(c5cccc1c52)c43,48
124,Yes,[16*]c1ccccc1C,47
125,Yes,[14*]c1ccc(C#N)s1,47
126,Yes,[4*]CCCCCCCCCCCCCCCC,46
127,Yes,[1*]C(=O)C[8*],46
128,Yes,[5*]N1c2ccccc2C(C)(C)C1[7*],46
129,Yes,[5*][N+]#[C-],45
130,Yes,[14*]c1[nH]c(=O)n2c1-c1ccccc1C2=O,45
131,Yes,[16*]c1cc(C=O)c([16*])cc1C=O,45
132,Yes,[7*]C1C(=O)c2ccccc2S1(=O)=O,44
133,Yes,[16*]c1ccc2ccc3c([16*])ccc4ccc1c2c43,44
134,Yes,[16*]c1ccc(N)cc1,44
135,Yes,[7*]C1N(C)c2ccccc2C1(C)C,43
136,Yes,[1*]C(=O)C([4*])[8*],43
137,Yes,[14*]c1cc([16*])c2c(N)nc([14*])c(C#N)c2n1,42
138,Yes,[8*]C[n+]1ccc([16*])cc1,41
139,Yes,[5*]N1c2ccccc2Sc2ccccc21,41
140,Yes,[7*]C1N=C(C)N(C)C1=O,41
141,Yes,[14*]c1nc2ccc([16*])cc2oc1=O,40
142,Yes,[7*]C(C#N)C(=O)O,40
143,Yes,[16*]c1ccc2c([16*])cc(=O)oc2c1,40
144,Yes,[1*]C(=O)CC[4*],40
145,Yes,[14*]c1nc2c(c3c1-c1ccccc1CC3)-c1ccccc1CC2,40
146,Yes,[3*]O[B-]1(O[3*])OC(C[7*])=CC(C[7*])=[O+]1,40
147,Yes,[9*]n1cncn1,39
148,Yes,[16*]c1ccc([16*])c2c1C(=O)c1ccccc1C2=O,39
149,Yes,[7*]CC1=CC(C[7*])=[O+][B-](F)(F)O1,38
150,Yes,[16*]c1ccc(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)cc1,38
151,Yes,[14*]c1nc([14*])c(C)o1,38
152,Yes,[13*]C1CC(c2cccc3ccccc23)=NN1c1ccccc1,38
153,Yes,[16*]c1c(C)c2n(c1C)[B-](F)(F)[N+]1=C(C)C(CC)=C(C)C1=C2C,38
154,Yes,[7*]C1CCCC1=O,37
155,Yes,[7*]CC1=C([O-])C([7*])C1=O,37
156,Yes,[16*]c1ccc(C#Cc2ccccc2)cc1,37
157,Yes,[16*]c1cccc([16*])c1[16*],36
158,Yes,[16*]c1ccc([16*])c2ccccc12,36
159,Yes,[16*]c1ccc(C#Cc2ccc([16*])cc2)cc1,36
160,Yes,[9*]n1nc([14*])c([16*])c1[14*],36
161,Yes,[8*]CCCCCCCCCCCC,36
162,Yes,[4*]CC=C,35
163,Yes,[14*]c1cc([16*])c(C#N)c(=O)[nH]1,35
164,Yes,[4*]CCC[4*],35
165,Yes,[15*][C@@H]1C[C@@]([15*])(O)C[C@@]([15*])(O)[C@H]1[15*],35
166,Yes,[6*]C(=O)N/N=C/c1ccccc1O,35
167,Yes,[8*]CCC,34
168,Yes,[16*]c1ccc2c3cccc4cccc(c5cccc1c52)c43,34
169,Yes,[16*]c1c[nH]c2ccccc12,33
170,Yes,[4*]CC#C,33
171,Yes,[14*]c1ccc2ccccc2n1,33
172,Yes,[9*]n1c([14*])nc([14*])c1[14*],33
173,Yes,[4*]C(C)C,33
174,Yes,[14*]c1nc2c(c3c1-c1ccc(C#N)cc1CC3)-c1ccc(C#N)cc1CC2,32
175,Yes,[14*]c1cc2ccc([16*])cc2c(=O)o1,32
176,Yes,[6*]C(=O)CC,31
177,Yes,[10*]N1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N([10*])C5=O,30
178,Yes,[9*]n1c([14*])nc(C)c1C,30
179,Yes,[8*]CC(=O)NN,30
180,Yes,[16*]c1c(O)cc(C)oc1=O,30
181,Yes,[10*]N1C(=O)c2cccc3c([16*])c4ccccc4c(c23)C1=O,30
182,Yes,[16*]c1cc(C#N)c([16*])c(C#N)c1,30
183,Yes,[16*]c1cccc2nc3ccccc3cc12,29
184,Yes,[8*]CCCCCCCC,29
185,Yes,[16*]c1ccc2c(c1)C(CCCCCCCC)(CCCCCCCC)c1cc([16*])ccc1-2,29
186,Yes,[14*]c1nc([14*])c([14*])o1,29
187,Yes,[7*]C1C(=O)N([10*])C(=S)N([10*])C1=O,29
188,Yes,[14*]c1ccc(C=O)s1,28
189,Yes,[16*]c1ccc(C#Cc2ccc(C#N)cc2)cc1,28
190,Yes,[14*]c1nc2ccccc2[nH]1,28
191,Yes,[14*]c1nc2c3ccc([16*])cc3c3cc([16*])ccc3c2[nH]1,28
192,Yes,[5*]N1CCN(C)CC1,28
193,Yes,[16*]c1cc2ccccc2c2ccccc12,28
194,Yes,[9*]n1nc([14*])c2cc3cc([16*])ccc3nc21,28
195,Yes,[9*]n1nc([14*])c(C#N)n1,28
196,Yes,[7*]CC1=[N+](CC)c2ccccc2C1(C)C,27
197,Yes,[16*]c1cccc(C)c1,27
198,Yes,[15*]C1CCCCC1,27
199,Yes,[14*]c1nc([14*])nc(Cl)n1,27
200,Yes,[14*]c1ccncn1,27
201,Yes,[16*]c1ccc2oc3nc4oc5ccc([16*])cc5c4cc3c2c1,27
202,Yes,[16*]c1ccc(P(=O)(c2ccccc2)c2ccccc2)cc1,27
203,Yes,[16*]c1ccc(O)c(O)c1,27
204,Yes,[16*]c1c(C)[nH]c2ccccc12,26
205,Yes,[7*]CC([7*])O,26
206,Yes,[6*]C(=O)NN1C2=C(CC3=C1CCCC3=O)C(=O)CCC2,26
207,Yes,[16*]c1ccccc1Cl,26
208,Yes,[16*]c1ccccc1/C=N/c1ccccc1O,26
209,Yes,[16*]c1ccc2c(c1)C(=O)c1ccccc1C2=O,26
210,Yes,[4*]CC(CC)CCCC,25
211,Yes,[14*]c1cn2c(ccc3c(C)cc([14*])nc32)n1,25
212,Yes,[14*]c1cnc([14*])o1,25
213,Yes,[14*]c1nc2c3cccnc3c3ncccc3c2[nH]1,25
214,Yes,[16*]c1ccc2ccc(=O)oc2c1,25
215,Yes,[11*]SC#N,25
216,Yes,[14*]c1cc([16*])c([14*])s1,25
217,Yes,[14*]c1cnc2ccccc2n1,25
218,Yes,[16*]c1c2ccccc2nc2ccccc12,24
219,Yes,[16*]c1ccc2c3c(cccc13)CC2,24
220,Yes,[13*][C@@H]1O[C@H]([13*])[C@@H](O)[C@H]1O,24
221,Yes,[16*]c1ccc2c([16*])c3ccc(=[N+]4CCCCC4)cc-3oc2c1,24
222,Yes,[5*]N1CCN([5*])CC1,24
223,Yes,[7*]C1SC(=O)NC1=O,24
224,Yes,[5*]N1c2ccc3ccccc3c2C(C)(C)C1[7*],24
225,Yes,[14*]c1nccs1,24
226,Yes,[8*]C([8*])[8*],24
227,Yes,[16*]c1cc([16*])c2ccc3c([16*])cc([16*])c4ccc1c2c43,23
228,Yes,[14*]c1sc2ccccc2[n+]1C,23
229,Yes,[7*]C1C(=O)c2ccccc2C1=O,23
230,Yes,[16*]c1ccccc1/C=N/c1cccc(O)c1,23
231,Yes,[8*]CC#C,23
232,Yes,[16*]c1ccccc1/C=N/c1ccc(O)cc1,23
233,Yes,[7*]CC#N,23
234,Yes,[14*]c1nc2ccccc2nc1[14*],22
235,Yes,[16*]c1ccc2cc3ccccc3cc2c1,22
236,Yes,[16*]c1ccc(C=O)cc1,22
237,Yes,[16*]c1cccc([16*])c1O,22
238,Yes,[16*]c1cccc(P(=O)(c2ccccc2)c2ccccc2)c1,22
239,Yes,[1*]C(=O)[C@@H]([4*])C[4*],22
240,Yes,[4*]CCCS(=O)(=O)[O-],22
241,Yes,[16*]c1cc(S(=O)(=O)[O-])c2ccc3c(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c4ccc1c2c43,22
242,Yes,[16*]c1c(C)c2n(c1C)[B-](F)(F)[N+]1=C(C)C(C(C)(C)C)=C(C)C1=C2C,22
243,Yes,[16*]c1ccc(S(C)(=O)=O)cc1,22
244,Yes,[8*]CCCCCCCCCC,21
245,Yes,[5*]NC1=C2C=CC=[N+]2[B-](F)(F)n2cccc21,21
246,Yes,[10*]N1C(=O)c2c3c(c4c(c2C1=O)Cc1cc([16*])c([16*])cc1-4)-c1cc([16*])c([16*])cc1C3,21
247,Yes,[16*]c1cc2oc3c/c(=[NH+]\CC)c(C)cc-3nc2c2ccccc12,21
248,Yes,[5*]N1C(=CC[7*])N([5*])c2ccccc21,21
249,Yes,[7*]C/C=C1\Sc2ccccc2N1C,21
250,Yes,[7*]CC1=NC([7*])C(=O)N1C,21
251,Yes,[16*]c1cc2ccc3cccc4ccc(c1)c2c34,21
252,Yes,[8*]CCC(C)C,21
253,Yes,[16*]c1ccc([N+](=O)[O-])c([16*])c1,20
254,Yes,[16*]c1ccccc1N,20
255,Yes,[7*]C([8*])C,20
256,Yes,[5*]N1c2ccc([16*])cc2Sc2cc([16*])ccc21,20
257,Yes,[4*]CCCCC(C)C,20
258,Yes,[9*]n1c(C)ccc1C,20
259,Yes,[14*]c1noc([14*])n1,20
260,Yes,[16*]c1ccc(S(=O)(=O)c2ccc([16*])cc2)cc1,20
261,Yes,[14*]c1cc(C)c2n1[B-](F)(F)[N+]1=C(C)C=C(C)C1=C2c1ccc([16*])cc1,20
262,Yes,[14*]c1cccn1C,20
263,Yes,[16*]c1cn(C)c2ccccc12,20
264,Yes,[16*]c1c(C)c2cc3n(c(=O)n2c1C)C(=O)C(C)=C3CC,20
265,Yes,[16*]c1c2nc3c([16*])cc(N)c(C)c3oc-2c(C)c(=O)c1N,20
266,Yes,[4*]CC[8*],20
267,Yes,[16*]c1ccc2c([16*])c3ccc(=[N+](CC)CC)cc-3oc2c1,20
268,Yes,[6*]C(=O)CCC,20
269,Yes,[8*]CCCCCCCCCCCCCCCCCC,20
270,Yes,[13*]C1NC(=O)C([13*])OC(=O)C([13*])N(C)C(=O)CN(C)C(=O)C2CCCN2C1=O,20
271,Yes,[14*]c1cc([16*])c(C#N)c(=S)[nH]1,20
272,Yes,[14*]c1cc(C)nc([14*])n1,20
273,Yes,[14*]c1cc([16*])c(C#N)c(=O)o1,20
274,Yes,[16*]c1cc([16*])c2ccc3c(C=O)cc([16*])c4ccc1c2c43,19
275,Yes,[16*]c1ccc(B(c2c(C)cc(C)cc2C)c2c(C)cc(C)cc2C)cc1,19
276,Yes,[16*]c1cccnc1,19
277,Yes,[14*]c1ccc(C)cn1,19
278,Yes,[10*]N1C(=O)c2ccccc2NC1[13*],19
279,Yes,[14*]c1ccco1,19
280,Yes,[14*]c1cc2c(ccc3c([16*])cccc32)c(=O)o1,19
281,Yes,[16*]c1cc(=O)oc2cc(N)ccc12,19
282,Yes,[14*]c1csc2[n+]1[B-](F)(F)OC(c1ccc([16*])cc1)=N2,19
283,Yes,[14*]c1ccc(C2=CCC(C)CC2)s1,18
284,Yes,[16*]c1ccc([16*])c(C)c1,18
285,Yes,[14*]c1sc([14*])c2c(=O)[nH]nnc12,18
286,Yes,[16*]c1ccc(I)cc1,18
287,Yes,[9*]n1nc([14*])c2ccc3[o+]c([14*])c4ccc1c2c34,18
288,Yes,[14*]c1nc([14*])c([14*])s1,18
289,Yes,[14*]c1nc2n(c1[14*])CCS2,18
290,Yes,[16*]c1cc([16*])c2c(c1C#N)CCc1ccccc1-2,18
291,Yes,[14*]c1ccc([14*])o1,18
292,Yes,[9*]n1c2ccccc2c2cc([16*])c([16*])cc21,18
293,Yes,[14*]c1ccc(C2=CCCCC2)s1,18
294,Yes,[14*]c1ccc(C2=CCC([15*])CC2)s1,18
295,Yes,[16*]c1ccc2c(c1)[Si](C(C)C)(C(C)C)c1cc([16*])ccc1-2,18
296,Yes,[9*]n1nnc([14*])n1,18
297,Yes,[16*]c1ccccc1P(=O)(c1ccccc1)c1ccccc1,18
298,Yes,[14*]c1cc([16*])ccn1,18
299,Yes,[9*]n1cnc2ccccc21,18
300,Yes,[16*]c1ccc(C#Cc2ccc(C#Cc3ccc([16*])cc3)c3nc4c5ccccc5c5ccccc5c4nc23)cc1,18
301,Yes,[4*]CCCCCCCCCC,18
302,Yes,[16*]c1ccc(C#Cc2ccc(C#Cc3ccc([16*])c([16*])c3)c3nc4c5ccccc5c5ccccc5c4nc23)cc1[16*],18
303,Yes,[14*]c1cc2c3ccc4cccc5ccc(c6c2n1P(=O)(c1ccccc1)C(c1cc([16*])cc([16*])c1)=C6)c3c54,18
304,Yes,[14*]c1cc2c3ccc4cccc5ccc(c6c2n1P(=O)(c1ccccc1)C(CCCC)=C6)c3c54,18
305,Yes,[10*]N1C(=O)c2cccc3c(C#Cc4ccc([16*])cc4)ccc(c23)C1=O,18
306,Yes,[14*]c1nc(Cl)nc(Cl)n1,17
307,Yes,[14*]c1cc2ccc(N)cc2c(=O)o1,17
308,Yes,[16*]c1cc(/N=C/c2ccc(O)cc2)c(C)cc1O,17
309,Yes,[16*]c1cc2cccc3ccc4cccc1c4c32,17
310,Yes,[7*]C1N=C(C)N([10*])C1=O,17
311,Yes,[14*]c1cc([14*])ncn1,17
312,Yes,[9*]n1c2cc([16*])ccc2c2ccc([16*])cc21,17
313,Yes,[16*]c1ccc(Cl)cc1Cl,17
314,Yes,[4*]CCCCC,17
315,Yes,[16*]c1cc(/N=C/c2ccc(C)cc2)c(C)cc1O,17
316,Yes,[16*]c1ccc(C#Cc2ccc(C=O)cc2)cc1,17
317,Yes,Fc1c(F)c(F)c2c(c1F)C1=Nc3c4c(F)c(F)c(F)c(F)c4c4n3[B-]3(Cl)n5c(c6c(F)c(F)c(F)c(F)c6c5=N4)=NC2=[N+]13,17
318,Yes,[16*]c1cccc2c1C(=O)c1ccccc1C2=O,16
319,Yes,[5*]N1c2ccc3cc(Br)ccc3c2C(C)(C)C1[7*],16
320,Yes,Cc1c2ccncc2c(C)c2c1[nH]c1ccccc12,16
321,Yes,[16*]c1cccc(S(=O)(=O)c2cccc([16*])c2)c1,16
322,Yes,[9*]n1cccc1,16
323,Yes,[14*]c1ncc([16*])c2nonc12,16
324,Yes,[9*]n1nc([14*])cc1[14*],16
325,Yes,[5*]N1c2ccc([16*])cc2Sc2cc(/C=N/Nc3ccccn3)ccc21,16
326,Yes,[1*]C(=O)C1c2ccccc2C(=O)N1[10*],16
327,Yes,[14*]c1nc(C#N)c(C#N)n1C,16
328,Yes,[16*]c1ccc2c(c1)C(CCC)(CCC)c1cc([16*])ccc1-2,16
329,Yes,[8*]CC(CCCCCCCCCC)CCCCCCCCCCCC,16
330,Yes,[9*]n1c2cc([16*])c3cccc4c5cccc6c([16*])cc1c(c65)c2c34,16
331,Yes,[14*]c1cnc([14*])s1,16
332,Yes,[14*]c1sc(Br)nc1C,16
333,Yes,[7*]CC1=[N+](CCC)c2ccccc2C1(C)C,15
334,Yes,[14*]c1cc([14*])n(C)n1,15
335,Yes,[14*]c1nc2c([14*])sc([14*])c2nc1[14*],15
336,Yes,CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C)n1[B-]2(F)F,15
337,Yes,[16*]c1ccnc2ccccc12,15
338,Yes,[16*]c1cccc(O)c1,15
339,Yes,[16*]c1c([16*])c(=O)c1=O,15
340,Yes,[14*]c1c2ccccc2c2n1[B-](F)(F)[N+]1=Cc3c4ccccc4c([14*])n3[B-](F)(F)[N+]1=C2,15
341,Yes,[9*]n1c2ccccc2c2cc(C#Cc3cc(C#Cc4ccc5c(c4)c4ccccc4n5[9*])nc([14*])n3)ccc21,15
342,Yes,[14*]c1ncnc2ccc([16*])cc12,15
343,Yes,[16*]c1ccc2c3c(cccc13)C(=O)N(C)C2=O,15
344,Yes,[14*]c1sc2c3nc(C)sc3ccc2[n+]1C,15
345,Yes,[16*]c1c(F)c(F)c(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)c(F)c1F,15
346,Yes,[10*]N1C(=O)c2ccccc2C1=O,15
347,Yes,[8*]C(F)(F)C(F)(F)C(F)(F)F,15
348,Yes,[14*]c1nc([14*])[n+]([O-])c2c1CCCC2,15
349,Yes,[16*]c1ccc2c(c1)Cc1ccccc1-2,15
350,Yes,[16*]c1cc2ccc(O)cc2oc1=O,15
351,Yes,[14*]c1c(I)c(C)c2n1[B-](F)(F)[N+]1=C(C)C(I)=C(C)C1=C2c1cc([16*])cc([16*])c1,15
352,Yes,[13*]C1O[C@@H]([13*])[C@H](O)[C@@H](O)[C@@H]1O,15
353,Yes,[16*]c1cc([16*])cc(O)c1,15
354,Yes,[16*]c1ccc(/N=C/c2ccccc2O)cc1,15
355,Yes,[7*]CC1=[N+]2C(=C(c3cc([16*])cc([16*])c3)c3c(C)c(I)c([14*])n3[B-]2(F)F)C(C)=C1I,15
356,Yes,[16*]c1cccc(Cl)c1,14
357,Yes,[7*]CC1=[O+][B-](F)(F)OC(C[7*])=C1c1ccccc1,14
358,Yes,[16*]c1c2c(nc3ccccc13)-c1cc3c(cc1CC2)-c1nc2ccccc2c([16*])c1CC3,14
359,Yes,[5*]N1C2=C(C(=O)OC2)C(c2ccccc2)c2cc3c(cc21)CCC3,14
360,Yes,[7*]CC1=[N+](C)c2ccc3ccccc3c2C1(C)C,14
361,Yes,c1ccc(C2CCN3COc4c5ccccc5c5c6c7c(c2c3c46)C(c2ccccc2)CCN7CO5)cc1,14
362,Yes,[16*]c1ccc2c(c1)[Si](C(C)C)(C(C)C)c1cc(C=O)ccc1-2,14
363,Yes,[16*]c1ccc2c(=O)c3c([nH]c2c1)-c1cc(Cl)ccc1NC3(C)C,14
364,Yes,[16*]c1ccc2c(C#N)c([16*])c(=O)oc2c1,14
365,Yes,[16*]c1ccc2c(=O)c3c([nH]c2c1)-c1ccccc1NC3(C)C,14
366,Yes,CC1(C)Nc2cc(Cl)ccc2-c2[nH]c3ccccc3c(=O)c21,14
367,Yes,CC1(C)Nc2ccccc2-c2[nH]c3ccccc3c(=O)c21,14
368,Yes,[16*]c1ccc2c(c1)C(CC)(CC)c1cc(B(c3c(C)cc(C)cc3C)c3c(C)cc(C)cc3C)ccc1-2,14
369,Yes,[4*]CC(CC)CC,14
370,Yes,[7*]C1C=CC(=O)C(OC)=C1,14
371,Yes,[5*]N1C=CC([7*])C=C1,14
372,Yes,[16*]c1cc([16*])c2c3c([nH]c2c1)C(=O)CCC3,14
373,Yes,[14*]c1n[n+]2c(o1)-c1ccccc1O[B-]2(F)F,14
374,Yes,[14*]c1ccc2n1[B-](F)(F)[N+]1=C(c3ccccc3)C=CC1=C2c1ccc(C)cc1,14
375,Yes,[10*]N1C(=O)c2ccc3c4c([16*])cc5c6c(ccc(c7c([16*])cc(c2c37)C1=O)c64)C(=O)N([10*])C5=O,14
376,Yes,[5*]N1c2ccc(C#Cc3ccc([16*])cc3)cc2Sc2cc(C=O)ccc21,14
377,Yes,[16*]c1cc(C)[o+]c(C)c1,14
378,Yes,[16*]c1ccc2c(c1)[Si](C(C)C)(C(C)C)c1cc(C#N)ccc1-2,14
379,Yes,[16*]c1ccc([O-])cc1,14
380,Yes,[16*]c1cccc(C#N)c1,14
381,Yes,[16*]c1cc2c3c(c1O)CCCN3CCC2,14
382,Yes,[13*][C@@H]1O[C@H]([13*])[C@@H](O)C(O)[C@H]1O,14
383,Yes,[16*]c1ccc(C2=Cc3cccc[n+]3[B-](F)(F)O2)cc1,13
384,Yes,[14*]c1nc(C)cc(C)c1C1=C2C(C)=C(CC)C(C)=[N+]2[B-](F)(F)n2c(C)c([16*])c(C)c21,13
385,Yes,[16*]c1ccc(C)c(C)c1,13
386,Yes,[16*]c1ccc(C#Cc2cc([16*])c(C#Cc3ccc4ccccc4c3)cc2[16*])cc1,13
387,Yes,[5*]N1c2ccccc2C(c2ccccc2)(c2ccccc2)c2ccccc21,13
388,Yes,[16*]c1ccc(C2=Cc3c4ccccc4cc[n+]3[B-](F)(F)O2)cc1,13
389,Yes,[14*]c1nc2n(c1[14*])[B-](F)(F)[n+]1ccccc1-2,13
390,Yes,[16*]c1ccc(C#Cc2cc([16*])c(C#Cc3ccc4ccccc4c3[16*])cc2[16*])cc1,13
391,Yes,[16*]c1ccc(C2=Cc3c4ccccc4c4ccccc4[n+]3[B-](F)(F)O2)cc1,13
392,Yes,[14*]c1nc2sc3ccccc3c2s1,13
393,Yes,[8*]CCCCCC(=O)O,13
394,Yes,[7*]CC1=[N+]2C(=C(c3ccc([16*])cc3)c3c(C)cc(C)n3[B-]2(F)F)C(C)=C1,13
395,Yes,[16*]c1ccc(C2=Cc3ccc4ccccc4[n+]3[B-](F)(F)O2)cc1,13
396,Yes,[5*]N1c2ccccc2CCc2ccccc21,13
397,Yes,[16*]c1ccc2c(C)cc(=O)oc2c1,13
398,Yes,[16*]c1ccc2c(c1)C(CCCCCCCC)(CCCCCCCC)c1ccccc1-2,13
399,Yes,[4*]CCCCS(=O)(=O)[O-],13
400,Yes,[10*]N1C=CC2=Nc3nc(C)[n+](C)cc3CN2C1=O,13
401,Yes,[7*]CC1=CSC(=C2SC=CS2)S1,13
402,Yes,Oc1ccccc1/C=N/N=C/c1ccccc1O,13
403,Yes,[9*]n1nc([14*])c2cc3ccccc3nc21,13
404,Yes,[16*]c1ccc2c(ccc3nc4ccc5cc([16*])ccc5c4nc32)c1,13
405,Yes,[14*]c1cn2ccccc2n1,13
