,Random Forest
accuracy_score,0.9895746455379483
precision_score,0.9901477832512315
recall_score,0.9893355209187858
f1_score,0.9897414854329094
roc_auc_score,0.9895787019352199
matthews_corrcoef,0.9791441188944409
