,k-NN
accuracy_score,0.9774812343619683
precision_score,0.9858215179316097
recall_score,0.9696472518457753
f1_score,0.9776674937965261
roc_auc_score,0.9776141263469759
matthews_corrcoef,0.9550953514636475
